Borough,Registered to vote,Population,% registered
Barking and Dagenham,120769,127439,94.77
Barnet,233860,265476,88.09
Bexley,173748,174415,99.62
Brent,192889,198321,97.26
Bromley,235294,241947,97.25
Camden,150489,191980,78.39
City of London,6570,10554,62.25
City of Westminster,249777,262568,95.13
Croydon,229462,249385,92.01
Ealing,205577,220659,93.17
Enfield,162730,173033,94.05
Greenwich,156712,164708,95.15
Hackney,123891,138334,89.56
Hammersmith and Fulham,165279,176550,93.62
Haringey,173320,178232,97.24
Harrow,181653,183498,98.99
Havering,196357,202607,96.92
Hillingdon,178656,183847,97.18
Hounslow,145286,158078,91.91
Islington,105397,139767,75.41
Kensington and Chelsea,114064,133386,85.51
Kingston,212452,229392,92.62
Lambeth,180159,206054,87.43
Lewisham,142541,164402,86.7
Merton,170262,175122,97.22
Newham,197342,202943,97.24
Redbridge,135283,148144,91.32
Richmond,192937,230466,83.72
Southwark,137361,148926,92.23
Sutton,160212,184605,86.79
Tower Hamlets,164153,169973,96.58
Waltham Forest,226560,236113,95.95
Wandsworth,142983,214403,66.69
