Year,Code,Constituency,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %
2017,E14000540,Barking,London,Lab,Labour,32319,67.78%,47679,Lab,21608,45.32%
2017,E14000540,Barking,London,C,Conservative,10711,22.46%,,,,
2017,E14000540,Barking,London,UKIP,UKIP,3031,6.36%,,,,
2017,E14000540,Barking,London,Green,Green,724,1.52%,,,,
2017,E14000540,Barking,London,LD,Lib Dem,599,1.26%,,,,
2017,E14000540,Barking,London,Ind,Independent,295,0.62%,,,,
2017,E14000549,Battersea,London,Lab,Labour,25292,45.94%,55058,Lab,2416,4.39%
2017,E14000549,Battersea,London,C,Conservative,22876,41.55%,,,,
2017,E14000549,Battersea,London,LD,Lib Dem,4401,7.99%,,,,
2017,E14000549,Battersea,London,Ind,Independent,1234,2.24%,,,,
2017,E14000549,Battersea,London,Green,Green,866,1.57%,,,,
2017,E14000549,Battersea,London,UKIP,UKIP,357,0.65%,,,,
2017,E14000549,Battersea,London,Other,Other,32,0.06%,,,,
2017,E14000551,Beckenham,London,C,Conservative,30632,59.33%,51630,C,15087,29.22%
2017,E14000551,Beckenham,London,Lab,Labour,15545,30.11%,,,,
2017,E14000551,Beckenham,London,LD,Lib Dem,4073,7.89%,,,,
2017,E14000551,Beckenham,London,Green,Green,1380,2.67%,,,,
2017,E14000553,Bermondsey and Old Southwark,London,Lab,Labour,31161,53.25%,58521,Lab,12972,22.17%
2017,E14000553,Bermondsey and Old Southwark,London,LD,Lib Dem,18189,31.08%,,,,
2017,E14000553,Bermondsey and Old Southwark,London,C,Conservative,7581,12.95%,,,,
2017,E14000553,Bermondsey and Old Southwark,London,UKIP,UKIP,838,1.43%,,,,
2017,E14000553,Bermondsey and Old Southwark,London,Green,Green,639,1.09%,,,,
2017,E14000553,Bermondsey and Old Southwark,London,Ind,Independent,113,0.19%,,,,
2017,E14000555,Bethnal Green and Bow,London,Lab,Labour,42969,71.82%,59825,Lab,35393,59.16%
2017,E14000555,Bethnal Green and Bow,London,C,Conservative,7576,12.66%,,,,
2017,E14000555,Bethnal Green and Bow,London,Ind,Independent,3888,6.50%,,,,
2017,E14000555,Bethnal Green and Bow,London,LD,Lib Dem,2982,4.98%,,,,
2017,E14000555,Bethnal Green and Bow,London,Green,Green,1516,2.53%,,,,
2017,E14000555,Bethnal Green and Bow,London,UKIP,UKIP,894,1.49%,,,,
2017,E14000558,Bexleyheath and Crayford,London,C,Conservative,25113,55.57%,45189,C,9073,20.08%
2017,E14000558,Bexleyheath and Crayford,London,Lab,Labour,16040,35.50%,,,,
2017,E14000558,Bexleyheath and Crayford,London,UKIP,UKIP,1944,4.30%,,,,
2017,E14000558,Bexleyheath and Crayford,London,LD,Lib Dem,1201,2.66%,,,,
2017,E14000558,Bexleyheath and Crayford,London,Green,Green,601,1.33%,,,,
2017,E14000558,Bexleyheath and Crayford,London,Other,Other,290,0.64%,,,,
2017,E14000591,Brent Central,London,Lab,Labour,38208,73.06%,52296,Lab,27997,53.54%
2017,E14000591,Brent Central,London,C,Conservative,10211,19.53%,,,,
2017,E14000591,Brent Central,London,LD,Lib Dem,2519,4.82%,,,,
2017,E14000591,Brent Central,London,Green,Green,802,1.53%,,,,
2017,E14000591,Brent Central,London,UKIP,UKIP,556,1.06%,,,,
2017,E14000592,Brent North,London,Lab,Labour,35496,62.89%,56444,Lab,17061,30.23%
2017,E14000592,Brent North,London,C,Conservative,18435,32.66%,,,,
2017,E14000592,Brent North,London,LD,Lib Dem,1614,2.86%,,,,
2017,E14000592,Brent North,London,Green,Green,660,1.17%,,,,
2017,E14000592,Brent North,London,Ind,Independent,239,0.42%,,,,
2017,E14000593,Brentford and Isleworth,London,Lab,Labour,35364,57.38%,61629,Lab,12182,19.77%
2017,E14000593,Brentford and Isleworth,London,C,Conservative,23182,37.62%,,,,
2017,E14000593,Brentford and Isleworth,London,LD,Lib Dem,3083,5.00%,,,,
2017,E14000604,Bromley and Chislehurst,London,C,Conservative,25175,53.95%,46662,C,9590,20.55%
2017,E14000604,Bromley and Chislehurst,London,Lab,Labour,15585,33.40%,,,,
2017,E14000604,Bromley and Chislehurst,London,LD,Lib Dem,3369,7.22%,,,,
2017,E14000604,Bromley and Chislehurst,London,UKIP,UKIP,1383,2.96%,,,,
2017,E14000604,Bromley and Chislehurst,London,Green,Green,1150,2.46%,,,,
2017,E14000615,Camberwell and Peckham,London,Lab,Labour,44665,77.80%,57412,Lab,37316,65.00%
2017,E14000615,Camberwell and Peckham,London,C,Conservative,7349,12.80%,,,,
2017,E14000615,Camberwell and Peckham,London,LD,Lib Dem,3413,5.94%,,,,
2017,E14000615,Camberwell and Peckham,London,Green,Green,1627,2.83%,,,,
2017,E14000615,Camberwell and Peckham,London,Ind,Independent,358,0.62%,,,,
2017,E14000621,Carshalton and Wallington,London,LD,Lib Dem,20819,41.02%,50753,LD,1369,2.70%
2017,E14000621,Carshalton and Wallington,London,C,Conservative,19450,38.32%,,,,
2017,E14000621,Carshalton and Wallington,London,Lab,Labour,9360,18.44%,,,,
2017,E14000621,Carshalton and Wallington,London,Green,Green,501,0.99%,,,,
2017,E14000621,Carshalton and Wallington,London,Ind,Independent,434,0.86%,,,,
2017,E14000621,Carshalton and Wallington,London,Other,Other,189,0.37%,,,,
2017,E14000629,Chelsea and Fulham,London,C,Conservative,22179,52.65%,42128,C,8188,19.44%
2017,E14000629,Chelsea and Fulham,London,Lab,Labour,13991,33.21%,,,,
2017,E14000629,Chelsea and Fulham,London,LD,Lib Dem,4627,10.98%,,,,
2017,E14000629,Chelsea and Fulham,London,Green,Green,807,1.92%,,,,
2017,E14000629,Chelsea and Fulham,London,UKIP,UKIP,524,1.24%,,,,
2017,E14000634,Chingford and Woodford Green,London,C,Conservative,23076,49.14%,46961,C,2438,5.19%
2017,E14000634,Chingford and Woodford Green,London,Lab,Labour,20638,43.95%,,,,
2017,E14000634,Chingford and Woodford Green,London,LD,Lib Dem,2043,4.35%,,,,
2017,E14000634,Chingford and Woodford Green,London,Green,Green,1204,2.56%,,,,
2017,E14000636,Chipping Barnet,London,C,Conservative,25679,46.33%,55423,C,353,0.64%
2017,E14000636,Chipping Barnet,London,Lab,Labour,25326,45.70%,,,,
2017,E14000636,Chipping Barnet,London,LD,Lib Dem,3012,5.43%,,,,
2017,E14000636,Chipping Barnet,London,Green,Green,1406,2.54%,,,,
2017,E14000639,Cities of London and Westminster,London,C,Conservative,18005,46.58%,38654,C,3148,8.14%
2017,E14000639,Cities of London and Westminster,London,Lab,Labour,14857,38.44%,,,,
2017,E14000639,Cities of London and Westminster,London,LD,Lib Dem,4270,11.05%,,,,
2017,E14000639,Cities of London and Westminster,London,Green,Green,821,2.12%,,,,
2017,E14000639,Cities of London and Westminster,London,UKIP,UKIP,426,1.10%,,,,
2017,E14000639,Cities of London and Westminster,London,Ind,Independent,173,0.45%,,,,
2017,E14000639,Cities of London and Westminster,London,Other,Other,102,0.26%,,,,
2017,E14000654,Croydon Central,London,Lab,Labour,29873,52.33%,57091,Lab,5652,9.90%
2017,E14000654,Croydon Central,London,C,Conservative,24221,42.43%,,,,
2017,E14000654,Croydon Central,London,LD,Lib Dem,1083,1.90%,,,,
2017,E14000654,Croydon Central,London,UKIP,UKIP,1040,1.82%,,,,
2017,E14000654,Croydon Central,London,Green,Green,626,1.10%,,,,
2017,E14000654,Croydon Central,London,Other,Other,177,0.31%,,,,
2017,E14000654,Croydon Central,London,Ind,Independent,71,0.12%,,,,
2017,E14000655,Croydon North,London,Lab,Labour,44213,74.15%,59623,Lab,32365,54.28%
2017,E14000655,Croydon North,London,C,Conservative,11848,19.87%,,,,
2017,E14000655,Croydon North,London,LD,Lib Dem,1656,2.78%,,,,
2017,E14000655,Croydon North,London,Green,Green,983,1.65%,,,,
2017,E14000655,Croydon North,London,UKIP,UKIP,753,1.26%,,,,
2017,E14000655,Croydon North,London,Ind,Independent,170,0.29%,,,,
2017,E14000656,Croydon South,London,C,Conservative,33334,54.42%,61257,C,11406,18.62%
2017,E14000656,Croydon South,London,Lab,Labour,21928,35.80%,,,,
2017,E14000656,Croydon South,London,LD,Lib Dem,3541,5.78%,,,,
2017,E14000656,Croydon South,London,Green,Green,1125,1.84%,,,,
2017,E14000656,Croydon South,London,UKIP,UKIP,1116,1.82%,,,,
2017,E14000656,Croydon South,London,Other,Other,213,0.35%,,,,
2017,E14000657,Dagenham and Rainham,London,Lab,Labour,22958,50.08%,45843,Lab,4652,10.15%
2017,E14000657,Dagenham and Rainham,London,C,Conservative,18306,39.93%,,,,
2017,E14000657,Dagenham and Rainham,London,UKIP,UKIP,3246,7.08%,,,,
2017,E14000657,Dagenham and Rainham,London,Green,Green,544,1.19%,,,,
2017,E14000657,Dagenham and Rainham,London,LD,Lib Dem,465,1.01%,,,,
2017,E14000657,Dagenham and Rainham,London,Ind,Independent,239,0.52%,,,,
2017,E14000657,Dagenham and Rainham,London,Other,Other,85,0.19%,,,,
2017,E14000673,Dulwich and West Norwood,London,Lab,Labour,39096,69.64%,56143,Lab,28156,50.15%
2017,E14000673,Dulwich and West Norwood,London,C,Conservative,10940,19.49%,,,,
2017,E14000673,Dulwich and West Norwood,London,LD,Lib Dem,4475,7.97%,,,,
2017,E14000673,Dulwich and West Norwood,London,Green,Green,1408,2.51%,,,,
2017,E14000673,Dulwich and West Norwood,London,Ind,Independent,121,0.22%,,,,
2017,E14000673,Dulwich and West Norwood,London,Other,Other,103,0.18%,,,,
2017,E14000674,Ealing Central and Acton,London,Lab,Labour,33037,59.70%,55342,Lab,13807,24.95%
2017,E14000674,Ealing Central and Acton,London,C,Conservative,19230,34.75%,,,,
2017,E14000674,Ealing Central and Acton,London,LD,Lib Dem,3075,5.56%,,,,
2017,E14000675,Ealing North,London,Lab,Labour,34635,65.95%,52516,Lab,19693,37.50%
2017,E14000675,Ealing North,London,C,Conservative,14942,28.45%,,,,
2017,E14000675,Ealing North,London,LD,Lib Dem,1275,2.43%,,,,
2017,E14000675,Ealing North,London,UKIP,UKIP,921,1.75%,,,,
2017,E14000675,Ealing North,London,Green,Green,743,1.41%,,,,
2017,E14000676,"Ealing, Southall",London,Lab,Labour,31720,70.26%,45145,Lab,22090,48.93%
2017,E14000676,"Ealing, Southall",London,C,Conservative,9630,21.33%,,,,
2017,E14000676,"Ealing, Southall",London,LD,Lib Dem,1892,4.19%,,,,
2017,E14000676,"Ealing, Southall",London,Green,Green,1037,2.30%,,,,
2017,E14000676,"Ealing, Southall",London,UKIP,UKIP,504,1.12%,,,,
2017,E14000676,"Ealing, Southall",London,Ind,Independent,362,0.80%,,,,
2017,E14000679,East Ham,London,Lab,Labour,47124,83.21%,56633,Lab,39883,70.42%
2017,E14000679,East Ham,London,C,Conservative,7241,12.79%,,,,
2017,E14000679,East Ham,London,UKIP,UKIP,697,1.23%,,,,
2017,E14000679,East Ham,London,LD,Lib Dem,656,1.16%,,,,
2017,E14000679,East Ham,London,Green,Green,474,0.84%,,,,
2017,E14000679,East Ham,London,Other,Other,311,0.55%,,,,
2017,E14000679,East Ham,London,Ind,Independent,130,0.23%,,,,
2017,E14000687,Edmonton,London,Lab,Labour,31221,71.48%,43678,Lab,21115,48.34%
2017,E14000687,Edmonton,London,C,Conservative,10106,23.14%,,,,
2017,E14000687,Edmonton,London,UKIP,UKIP,860,1.97%,,,,
2017,E14000687,Edmonton,London,LD,Lib Dem,858,1.96%,,,,
2017,E14000687,Edmonton,London,Green,Green,633,1.45%,,,,
2017,E14000690,Eltham,London,Lab,Labour,25128,54.44%,46155,Lab,6296,13.64%
2017,E14000690,Eltham,London,C,Conservative,18832,40.80%,,,,
2017,E14000690,Eltham,London,LD,Lib Dem,1457,3.16%,,,,
2017,E14000690,Eltham,London,Other,Other,738,1.60%,,,,
2017,E14000691,Enfield North,London,Lab,Labour,28177,58.02%,48565,Lab,10247,21.10%
2017,E14000691,Enfield North,London,C,Conservative,17930,36.92%,,,,
2017,E14000691,Enfield North,London,LD,Lib Dem,1036,2.13%,,,,
2017,E14000691,Enfield North,London,UKIP,UKIP,848,1.75%,,,,
2017,E14000691,Enfield North,London,Green,Green,574,1.18%,,,,
2017,E14000692,"Enfield, Southgate",London,Lab,Labour,24989,51.71%,48328,Lab,4355,9.01%
2017,E14000692,"Enfield, Southgate",London,C,Conservative,20634,42.70%,,,,
2017,E14000692,"Enfield, Southgate",London,LD,Lib Dem,1925,3.98%,,,,
2017,E14000692,"Enfield, Southgate",London,Green,Green,780,1.61%,,,,
2017,E14000696,Erith and Thamesmead,London,Lab,Labour,25585,57.54%,44464,Lab,10014,22.52%
2017,E14000696,Erith and Thamesmead,London,C,Conservative,15571,35.02%,,,,
2017,E14000696,Erith and Thamesmead,London,UKIP,UKIP,1728,3.89%,,,,
2017,E14000696,Erith and Thamesmead,London,LD,Lib Dem,750,1.69%,,,,
2017,E14000696,Erith and Thamesmead,London,Green,Green,507,1.14%,,,,
2017,E14000696,Erith and Thamesmead,London,Other,Other,243,0.55%,,,,
2017,E14000696,Erith and Thamesmead,London,Ind,Independent,80,0.18%,,,,
2017,E14000701,Feltham and Heston,London,Lab,Labour,32562,61.29%,53127,Lab,15703,29.56%
2017,E14000701,Feltham and Heston,London,C,Conservative,16859,31.73%,,,,
2017,E14000701,Feltham and Heston,London,UKIP,UKIP,1510,2.84%,,,,
2017,E14000701,Feltham and Heston,London,LD,Lib Dem,1387,2.61%,,,,
2017,E14000701,Feltham and Heston,London,Green,Green,809,1.52%,,,,
2017,E14000703,Finchley and Golders Green,London,C,Conservative,24599,46.96%,52385,C,1657,3.16%
2017,E14000703,Finchley and Golders Green,London,Lab,Labour,22942,43.79%,,,,
2017,E14000703,Finchley and Golders Green,London,LD,Lib Dem,3463,6.61%,,,,
2017,E14000703,Finchley and Golders Green,London,Green,Green,919,1.75%,,,,
2017,E14000703,Finchley and Golders Green,London,UKIP,UKIP,462,0.88%,,,,
2017,E14000718,Greenwich and Woolwich,London,Lab,Labour,34215,64.43%,53106,Lab,20714,39.01%
2017,E14000718,Greenwich and Woolwich,London,C,Conservative,13501,25.42%,,,,
2017,E14000718,Greenwich and Woolwich,London,LD,Lib Dem,3785,7.13%,,,,
2017,E14000718,Greenwich and Woolwich,London,Green,Green,1605,3.02%,,,,
2017,E14000720,Hackney North and Stoke Newington,London,Lab,Labour,42265,75.07%,56298,Lab,35139,62.42%
2017,E14000720,Hackney North and Stoke Newington,London,C,Conservative,7126,12.66%,,,,
2017,E14000720,Hackney North and Stoke Newington,London,LD,Lib Dem,3817,6.78%,,,,
2017,E14000720,Hackney North and Stoke Newington,London,Green,Green,2606,4.63%,,,,
2017,E14000720,Hackney North and Stoke Newington,London,Other,Other,281,0.50%,,,,
2017,E14000720,Hackney North and Stoke Newington,London,Ind,Independent,203,0.36%,,,,
2017,E14000721,Hackney South and Shoreditch,London,Lab,Labour,43974,79.44%,55354,Lab,37931,68.52%
2017,E14000721,Hackney South and Shoreditch,London,C,Conservative,6043,10.92%,,,,
2017,E14000721,Hackney South and Shoreditch,London,LD,Lib Dem,3168,5.72%,,,,
2017,E14000721,Hackney South and Shoreditch,London,Green,Green,1522,2.75%,,,,
2017,E14000721,Hackney South and Shoreditch,London,Other,Other,504,0.91%,,,,
2017,E14000721,Hackney South and Shoreditch,London,Ind,Independent,143,0.26%,,,,
2017,E14000726,Hammersmith,London,Lab,Labour,33375,63.87%,52252,Lab,18651,35.69%
2017,E14000726,Hammersmith,London,C,Conservative,14724,28.18%,,,,
2017,E14000726,Hammersmith,London,LD,Lib Dem,2802,5.36%,,,,
2017,E14000726,Hammersmith,London,Green,Green,800,1.53%,,,,
2017,E14000726,Hammersmith,London,UKIP,UKIP,507,0.97%,,,,
